Cinsiyet;Yaþ;Toplu_tasima_araci;Toplu_tasima_haftalik;Egitim_durumu;Arac_durum;Aylik_gelir;Isýnma_turu;Arac_km_yillik;Arac_yakit_tipi;Yillik_ortalama_yakýt_TL;Bolge;Sehir;Hane_kisi;Yillik_ortalama_elk;"PV_sistem
";Yillik_ortalama_dogalgaz;"
Enerji_sinifi_kontorl";Tekstil_alisveris;Zararlý_ürün;Atik_donusum;PC_yenileme;;Birim_Dogalgaz;Birim_Elk_Ev;Birim_Benzin;Birim_Mazot;Birim_LPG;Birim_Arac_Sarj;Toplu_tasima_kisi;Toplu_tasima_km;Yillik_yakit_miktar;Yillik_lpg_miktar;Yillik_dogalgaz_miktar;Yillik_elk_miktar;Emisyon_elektrik;Emisyon_dogalgaz;Emisyon_benzin;Emisyon_mazot;Emisyon_lpg;Emisyon_toplutasima;Emisyon_kömür;Emisyon_Toplam
Erkek;25-34;3;1;4;1;80.000 TL+;Doðalgaz;7200;Benzin;30000;Marmara;Bursa;2-3 kiþi;3600;Hayýr;10800;Evet;3-4 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1321,91;2400;1,11;2,60;1,595643803;0;0;0,00314925;0;5,30
Kadýn;18-24;2;5;3;0;50.000 TL-80.000 TL;Doðalgaz;7200;Þahsi aracým yok;0;Marmara;Kocaeli ;2-3 kiþi;3600;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1028,15;2400;1,11;2,02;0;0;0;0,00314925;0;3,13
Kadýn;45-54;1;3;2;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Kocaeli ;2-3 kiþi;8400;Hayýr;19200;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;2350,06;5600;2,58;4,61;0;0;0;0,00314925;0;7,20
Kadýn;45-54;5;0;4;1;50.000 TL-80.000 TL;Doðalgaz;7200;Dizel;42000;Ýç Anadolu;Ankara;2-3 kiþi;3600;Hayýr;10800;Evet;Hiç;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;949,37;0;1321,91;0;0,00;2,60;0;0,059795886;0;0;0;2,65
Erkek;35-44;5;0;3;1;30.000 TL-50.000 TL;Doðalgaz;3600;Benzin+LPG;18000;Ýç Anadolu;Ankara;4-6 kiþi;3600;Hayýr;16200;Evet;3-4 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;196,72;428,57;1982,86;0;0,00;3,89;0,478693141;0;347,1428571;0;0;351,51
Kadýn;18-24;2;4;4;0;17.000 TL-30.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Kocaeli ;Yalnýz yaþýyorum.;3600;Hayýr;2400;Hayýr;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;293,76;2400;1,11;0,58;0;0;0;0,00314925;0;1,69
Kadýn;35-44;1;2;4;0;30.000 TL-50.000 TL;Doðalgaz;1200;Dizel;9000;Marmara;Ýstanbul;Yalnýz yaþýyorum.;3600;Hayýr;6000;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;203,44;0;734,39;2400;1,11;1,44;0;0,012813404;0;0,00314925;0;2,56
Kadýn;35-44;2;4;4;1;80.000 TL+;Doðalgaz;3600;Benzin;30000;Marmara;Ýstanbul;2-3 kiþi;8400;Hayýr;10800;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1321,91;5600;2,58;2,60;1,595643803;0;0;0,00314925;0;6,78
Kadýn;35-44;1;3;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Benzin;18000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;8400;Hayýr;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;1028,15;2400;1,11;2,02;0,957386282;0;0;0,00314925;0;4,09
Erkek;25-34;5;1;4;0;17.000 TL-30.000 TL;Doðalgaz;1200;Benzin+LPG;30000;Marmara;Kocaeli ;2-3 kiþi;3600;Hayýr;10800;Evet;1-2 kez;Evet;Evet;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;327,87;714,29;1321,91;0;0,00;2,60;0,797821902;0;578,5714286;0;0;581,96
Kadýn;35-44;5;0;5;0;80.000 TL+;Doðalgaz;1200;Dizel;30000;Marmara;Ýstanbul;2-3 kiþi;3600;Hayýr;16200;Evet;3-4 kez;Evet;Hayýr;2 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;1982,86;0;0,00;3,89;0;0,042711347;0;0;0;3,94
Kadýn;25-34;1;2;2;0;17.000 TL-30.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Kocaeli ;2-3 kiþi;3600;Hayýr;16200;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1982,86;2400;1,11;3,89;0;0;0;0,00314925;0;5,00
Erkek;18-24;3;5;4;0;17.000 TL-30.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Ýstanbul;4-6 kiþi;3600;Hayýr;8400;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1028,15;2400;1,11;2,02;0;0;0;0,00314925;0;3,13
Erkek;45-54;5;1;2;1;50.000 TL-80.000 TL;Doðalgaz;1200;Benzin+LPG;30000;Ýç Anadolu;Ankara;2-3 kiþi;3600;Hayýr;13200;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;327,87;714,29;1615,67;0;0,00;3,17;0,797821902;0;578,5714286;0;0;582,54
Erkek;18-24;2;5;4;0;30.000 TL-50.000 TL;Doðalgaz;0;Þahsi aracým yok;0;Marmara;Bursa;2-3 kiþi;6000;Hayýr;10800;Hayýr;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;1321,91;4000;1,84;2,60;0;0;0;0,00314925;0;4,44
Erkek;55-64;5;1;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Benzin;42000;Karadeniz;Bayburt ;2-3 kiþi;3600;Hayýr;13200;Evet;1-2 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;1615,67;0;0,00;3,17;2,233901325;0;0;0;0;5,41
Kadýn;45-54;5;0;4;1;50.000 TL-80.000 TL;Doðalgaz;7200;Benzin;30000;Ege;Ýzmir;2-3 kiþi;6000;Hayýr;10800;Evet;1-2 kez;Evet;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;655,7377049;0;1321,91;0;0,00;2,60;1,595643803;0;0;0;0;4,19
Kadýn;35-44;2;5;5;0;50.000 TL-80.000 TL;Elektrik;0;Þahsi aracým yok;0;Marmara;Ýstanbul;Yalnýz yaþýyorum.;1200;Hayýr;0;Evet;5-6 kez;Evet;Hayýr;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;0;0;0,00;800;0,37;0,00;0;0;0;0,00314925;0;0,37
Kadýn;45-54;5;0;4;1;50.000 TL-80.000 TL;Doðalgaz;1200;Benzin;42000;Ýç Anadolu;Ankara;4-6 kiþi;6000;Hayýr;13200;Evet;5-6 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;918,0327869;0;1615,67;0;0,00;3,17;2,233901325;0;0;0;0;5,41
Erkek;45-54;2;1;5;1;80.000 TL+;Doðalgaz;7200;Dizel;30000;Marmara;Bursa;2-3 kiþi;3600;Hayýr;6000;Evet;1-2 kez;Hayýr;Evet;5 yýl ve üstü;;8,17;1,5;45,75;44,24;21;9;50;10000;678,12;0;734,39;2400;1,11;1,44;0;0,042711347;0;0,00314925;0;2,59
Erkek;45-54;5;0;5;1;80.000 TL+;Diðer (LPG, Odun, Kömür vb.);1200;Benzin;18000;Marmara;Çanakkale;4-6 kiþi;8400;Hayýr;0;Evet;1-2 kez;Hayýr;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;393,442623;0;0,00;0;0,00;0,00;0,957386282;0;0;0;19,67213115;20,63
Kadýn;35-44;1;3;2;1;30.000 TL-50.000 TL;Doðalgaz;1200;Dizel;18000;Ege;Bursa;4-6 kiþi;6000;Hayýr;10800;Evet;1-2 kez;Evet;Hayýr;4 yýlda bir;;8,17;1,5;45,75;44,24;21;9;50;10000;406,87;0;1321,91;4000;1,84;2,60;0;0,025626808;0;0,00314925;0;4,47
